Sample,X,Y,Z
0,0.035,-0.035,0.957
1,0.039,-0.090,1.016
2,0.035,-0.094,1.008
3,0.035,-0.086,1.004
4,0.023,-0.102,1.012
5,0.031,-0.098,1.012
6,0.027,-0.098,1.012
7,0.035,-0.090,1.016
8,0.035,-0.102,1.008
9,0.020,-0.105,1.008
10,0.027,-0.094,1.008
11,0.039,-0.094,1.016
12,0.031,-0.098,1.000
13,0.027,-0.102,1.008
14,0.031,-0.090,1.004
15,0.031,-0.102,1.012
16,0.027,-0.098,1.008
17,0.023,-0.098,1.008
18,0.039,-0.102,1.008
19,0.031,-0.086,1.008
20,0.031,-0.090,1.055
21,0.027,-0.098,1.012
22,0.023,-0.102,1.012
23,0.035,-0.094,1.016
24,0.031,-0.094,0.996
25,0.023,-0.098,1.012
26,0.027,-0.098,1.012
27,0.031,-0.098,1.012
28,0.035,-0.090,1.004
29,0.031,-0.090,1.012
30,0.027,-0.102,1.012
31,0.023,-0.098,1.008
32,0.027,-0.090,1.012
33,0.035,-0.094,1.012
34,0.027,-0.090,1.012
35,0.023,-0.102,1.004
36,0.031,-0.098,1.008
37,0.039,-0.094,1.016
38,0.035,-0.090,1.012
39,0.023,-0.098,1.012
40,0.055,-0.105,1.016
41,0.039,-0.086,1.012
42,0.027,-0.094,1.004
43,0.035,-0.102,1.016
44,0.027,-0.105,1.008
45,0.035,-0.098,1.008
46,0.027,-0.086,1.012
47,0.027,-0.105,1.004
48,0.027,-0.102,1.012
49,0.031,-0.098,1.004
50,0.031,-0.090,1.016
51,0.031,-0.098,1.004
52,0.023,-0.094,1.012
53,0.027,-0.102,1.012
54,0.027,-0.094,1.004
55,0.027,-0.094,1.016
56,0.031,-0.098,1.008
57,0.035,-0.094,1.008
58,0.031,-0.090,1.016
59,0.027,-0.098,1.012
60,0.039,-0.113,1.055
61,0.027,-0.102,1.000
62,0.031,-0.094,1.008
63,0.031,-0.102,1.004
64,0.023,-0.094,1.008
65,0.031,-0.098,1.012
66,0.035,-0.098,1.008
67,0.027,-0.094,1.008
68,0.031,-0.098,1.004
69,0.031,-0.098,1.008
70,0.031,-0.098,1.004
71,0.023,-0.102,1.008
72,0.027,-0.090,1.016
73,0.039,-0.094,1.016
74,0.035,-0.098,1.016
75,0.031,-0.109,1.012
76,0.023,-0.098,1.008
77,0.027,-0.102,1.008
78,0.035,-0.094,1.020
79,0.031,-0.102,1.016
80,0.020,-0.113,1.023
81,0.027,-0.094,1.008
82,0.027,-0.094,1.012
83,0.027,-0.094,1.016
84,0.023,-0.105,1.016
85,0.027,-0.094,1.004
86,0.031,-0.086,1.012
87,0.027,-0.098,1.004
88,0.027,-0.102,1.020
89,0.031,-0.102,1.004
90,0.031,-0.094,1.004
91,0.031,-0.094,1.012
92,0.031,-0.105,1.008
93,0.031,-0.094,1.008
94,0.031,-0.098,1.004
95,0.031,-0.094,1.012
96,0.031,-0.094,1.012
97,0.027,-0.098,1.012
98,0.031,-0.098,1.004
99,0.035,-0.094,1.012
100,0.047,-0.109,1.020
101,0.027,-0.105,1.008
102,0.027,-0.098,1.008
103,0.031,-0.098,1.008
104,0.031,-0.098,1.008
105,0.031,-0.094,1.012
106,0.027,-0.098,1.012
107,0.023,-0.098,1.008
108,0.035,-0.094,1.008
