Sample,X,Y,Z
0,-0.016,-0.004,0.621
1,-0.035,0.004,0.996
2,0.027,-0.008,1.012
3,0.078,0.004,1.020
4,0.059,0.008,0.992
5,-0.012,0.016,0.977
6,-0.066,-0.012,1.008
7,-0.047,-0.012,1.000
8,0.039,0.012,1.008
9,0.055,0.000,0.996
10,0.059,0.008,1.000
11,-0.031,-0.004,0.992
12,-0.055,0.004,1.004
13,-0.047,-0.004,1.008
14,0.035,-0.004,1.020
15,0.090,0.020,1.000
16,0.012,0.004,0.969
17,-0.012,0.008,1.000
18,-0.090,-0.023,1.000
19,0.012,-0.004,1.023
20,0.082,0.004,1.016
21,0.090,0.035,0.988
22,0.020,0.020,0.973
23,-0.109,0.008,0.980
24,-0.094,-0.020,1.004
25,0.027,-0.039,1.043
26,0.168,0.016,1.012
27,0.117,0.012,0.973
28,-0.027,0.012,0.977
29,-0.184,0.008,1.004
30,-0.090,-0.008,1.012
31,0.074,0.008,1.020
32,0.184,0.016,0.996
33,0.082,0.020,0.977
34,-0.098,-0.008,0.996
35,-0.129,-0.016,1.012
36,-0.047,0.000,1.000
37,0.129,0.016,1.004
38,0.105,0.012,1.012
39,0.016,0.000,1.004
40,-0.102,-0.023,1.008
41,-0.082,0.008,0.984
42,0.039,0.016,0.977
43,0.102,-0.008,1.016
44,0.121,0.000,1.027
45,-0.031,-0.008,0.996
46,-0.074,0.004,0.988
47,-0.098,0.000,0.992
48,0.059,0.016,0.988
49,0.094,-0.004,1.012
50,0.059,0.000,1.012
51,0.023,-0.012,1.004
52,-0.051,0.008,0.988
53,-0.023,0.004,0.984
54,0.023,0.031,0.984
55,0.047,0.000,1.012
56,-0.020,-0.008,1.020
57,0.004,-0.008,1.012
58,-0.008,-0.008,1.016
59,0.016,0.008,0.984
60,0.055,0.020,0.973
61,0.008,-0.008,1.000
62,0.016,0.004,1.023
63,0.000,-0.008,1.008
64,0.016,0.008,0.988
65,0.008,0.008,0.984
66,0.000,0.016,0.973
67,-0.027,-0.012,1.000
68,0.020,-0.023,1.055
69,0.023,-0.008,1.008
70,0.047,0.023,0.984
71,0.000,0.016,0.988
72,-0.016,0.027,0.980
73,0.004,0.000,0.996
74,-0.004,-0.043,1.023
75,0.070,-0.035,1.027
76,-0.027,0.012,1.008
77,-0.008,0.047,0.965
78,-0.051,0.020,0.973
79,-0.047,0.004,0.980
80,0.051,0.000,1.012
81,0.090,-0.027,1.012
82,0.066,-0.004,1.020
83,-0.004,0.004,1.000
84,-0.051,0.023,0.969
85,-0.082,0.020,0.992
86,0.004,0.008,1.008
87,0.043,0.000,0.996
88,0.082,0.000,1.000
89,0.070,-0.008,1.012
90,-0.020,-0.012,0.996
91,-0.020,-0.012,0.996
92,-0.020,0.000,1.008
93,-0.031,0.004,0.996
94,0.020,0.012,0.988
95,0.012,0.008,1.004
96,0.023,-0.023,1.000
97,0.082,-0.004,1.004
98,0.035,-0.039,1.039
99,-0.078,-0.090,1.055
100,0.176,0.016,1.027
101,0.094,-0.008,0.957
102,0.312,0.055,0.973
103,0.043,0.016,0.918
104,0.066,-0.008,0.953
105,0.086,-0.012,1.023
106,0.117,-0.023,1.031
107,0.199,-0.004,1.059
108,0.059,-0.020,1.035
109,0.062,-0.023,1.039
110,0.082,-0.027,1.031
111,0.316,-0.020,1.012
112,0.449,0.004,0.988
113,0.414,0.020,0.926
114,0.246,0.055,0.910
115,0.047,0.035,0.914
116,0.047,0.027,0.980
117,0.148,0.023,1.020
118,0.250,0.008,1.027
119,0.180,-0.008,1.023
120,0.074,-0.008,1.035
121,0.039,-0.039,1.098
122,0.191,-0.027,1.109
123,0.316,-0.027,1.051
124,0.633,0.035,1.004
125,0.500,0.020,0.926
126,0.453,0.098,0.852
127,0.316,0.086,0.805
128,0.227,0.051,0.969
129,0.109,-0.023,1.082
130,0.211,-0.094,1.242
131,0.398,-0.121,1.270
132,0.684,-0.012,1.066
133,0.797,0.215,0.680
134,0.371,0.297,0.402
135,-0.055,0.148,0.652
136,-0.305,-0.285,1.316
137,0.258,-0.531,1.910
138,1.133,-0.219,1.641
139,0.969,0.336,0.723
140,0.004,0.430,0.273
141,-0.453,0.230,0.387
142,0.035,-0.148,0.859
143,1.266,-0.270,1.504
144,1.383,-0.203,1.426
145,0.520,-0.027,1.117
146,-0.477,0.094,0.977
147,-0.977,0.078,0.844
148,-0.227,0.047,0.961
149,1.156,0.098,0.934
150,1.621,0.113,0.641
151,1.215,-0.184,1.012
152,0.180,-0.375,1.492
153,-0.344,-0.219,1.262
154,0.086,0.176,1.031
155,0.348,0.484,0.664
156,-0.027,0.254,0.422
157,0.738,0.008,1.117
158,0.383,-0.484,1.426
159,1.402,-0.242,1.316
160,1.215,0.219,0.961
161,-0.320,0.059,0.480
162,0.164,0.430,0.801
163,-0.906,-0.312,1.125
164,0.969,0.059,1.504
165,0.746,-0.125,1.074
166,1.359,0.145,0.887
167,0.355,0.016,0.676
168,0.168,0.172,0.742
169,-0.043,-0.156,1.016
170,0.355,-0.039,1.273
171,0.703,-0.227,1.438
172,0.598,0.074,1.109
173,0.148,0.164,0.648
174,0.172,0.152,0.762
175,-0.008,0.043,0.730
176,0.527,-0.047,0.902
177,1.070,-0.320,1.406
178,1.012,-0.168,1.488
179,0.102,0.055,1.047
180,-0.422,0.195,0.848
181,-0.484,0.262,0.520
182,0.035,0.031,0.770
183,1.059,-0.340,1.387
184,1.922,-0.195,1.359
185,1.246,0.004,0.883
186,0.070,0.211,0.961
187,-0.703,0.273,0.652
188,-1.012,0.047,0.652
189,0.398,-0.039,1.227
190,1.465,-0.227,1.418
191,1.957,-0.113,1.223
192,0.969,0.168,0.844
193,-0.586,0.102,0.625
194,-0.871,0.039,0.922
195,-0.172,0.004,1.195
196,0.930,-0.016,0.980
197,1.750,0.141,1.184
198,0.562,-0.172,1.074
199,0.008,-0.125,0.715
200,-0.215,0.141,0.863
201,-0.352,-0.191,1.172
202,0.711,0.156,1.168
203,0.469,0.070,0.785
204,0.750,-0.047,1.227
205,-0.215,-0.207,1.109
206,0.141,0.070,0.738
207,0.078,-0.023,0.945
208,0.195,-0.266,1.219
209,0.992,0.062,1.215
210,0.375,-0.004,0.914
211,0.375,-0.004,0.914
212,0.488,0.258,0.836
213,-0.523,-0.027,0.676
214,0.309,0.082,0.988
215,-0.023,-0.184,1.098
216,1.023,0.082,1.055
217,0.367,-0.188,1.191
218,0.156,-0.027,1.215
219,0.047,0.180,0.742
220,-0.223,0.199,0.734
221,0.094,0.125,0.992
222,0.219,-0.059,1.059
223,0.711,-0.109,1.145
224,0.492,0.066,1.113
225,-0.062,-0.004,1.020
226,-0.094,0.035,0.949
227,-0.418,0.059,0.848
228,0.223,0.141,1.109
229,0.371,-0.246,0.992
230,0.945,0.141,1.098
231,0.438,-0.098,0.840
232,-0.051,0.129,0.586
233,-0.520,-0.156,1.172
234,-0.340,-0.152,1.238
235,-0.156,-0.098,1.113
236,0.477,-0.074,1.352
237,0.188,-0.027,0.922
238,0.316,0.227,0.648
239,-0.336,-0.035,0.777
240,-0.086,-0.051,1.008
241,0.254,-0.105,1.043
242,0.363,-0.090,1.164
243,0.465,0.160,1.148
244,-0.574,0.199,0.664
245,-0.695,0.082,1.184
246,-0.746,-0.023,1.211
247,-0.117,0.078,0.934
248,0.484,-0.109,1.203
249,0.680,0.133,0.930
250,0.785,0.230,0.434
251,-0.242,-0.094,1.023
252,-0.664,-0.184,1.395
253,-0.207,0.145,0.820
254,-0.090,0.195,0.859
255,0.152,-0.098,1.477
256,0.246,-0.055,1.113
257,0.016,-0.047,0.680
258,0.453,0.086,0.949
259,-0.109,-0.246,0.840
260,0.758,-0.023,1.000
261,0.301,-0.270,1.133
262,0.246,0.117,1.059
263,-0.117,0.086,1.031
264,-0.855,0.066,1.020
265,-0.516,0.051,0.953
266,-0.121,0.000,1.078
267,0.590,-0.027,0.867
268,1.137,0.168,0.789
269,0.250,-0.012,0.820
270,-0.352,-0.121,1.160
271,-0.863,-0.086,1.375
272,-0.809,0.086,0.992
273,-0.543,0.289,0.988
274,-0.184,-0.008,1.094
275,0.266,0.129,1.035
276,0.227,-0.059,0.789
277,0.500,-0.090,0.781
278,0.324,-0.004,1.031
279,-0.176,-0.246,1.133
280,-0.156,0.152,1.074
281,-0.969,-0.184,1.141
282,0.094,0.195,1.191
283,-0.414,-0.023,0.918
284,0.504,0.137,0.898
285,0.754,-0.105,0.691
286,0.820,-0.129,0.934
287,0.629,-0.070,1.078
288,-0.152,-0.211,0.977
289,0.094,0.137,1.125
290,-0.684,-0.023,0.965
291,-0.012,0.355,0.906
292,-0.250,0.008,0.930
293,0.457,0.062,1.191
294,0.312,-0.121,1.070
295,0.367,0.027,0.973
296,-0.098,0.039,0.844
297,-0.227,0.027,0.965
298,-0.383,0.094,1.082
299,-0.586,-0.078,1.164
300,0.438,0.180,0.895
301,-0.543,0.004,0.840
302,0.215,0.043,1.285
303,-0.309,-0.301,1.066
304,0.039,0.090,1.074
305,0.020,0.008,0.848
306,-0.023,0.164,0.734
307,-0.480,-0.250,0.980
308,0.219,-0.125,1.230
309,0.145,-0.125,1.047
310,0.391,0.113,1.090
311,-0.191,-0.180,1.141
312,0.004,0.168,0.723
313,-0.078,0.074,0.746
314,0.133,-0.078,1.004
315,0.703,-0.004,1.004
316,0.539,-0.008,1.043
317,-0.016,-0.039,1.156
318,-0.418,-0.023,1.160
319,-0.738,0.117,0.926
320,-0.098,0.145,1.020
321,0.211,0.059,1.016
322,0.609,0.043,0.961
323,0.762,0.059,0.867
324,0.113,-0.016,0.711
325,-0.145,-0.078,0.988
326,-0.445,-0.215,1.309
327,-0.422,0.020,1.168
328,-0.004,0.211,1.059
329,-0.488,0.121,1.082
330,-0.195,0.066,0.863
331,-0.008,-0.043,0.723
332,0.402,-0.043,0.801
333,0.824,-0.262,1.164
334,0.188,-0.156,1.223
335,-0.289,0.000,0.957
336,-1.129,-0.125,1.145
337,-0.449,0.145,1.125
338,-0.254,0.227,0.695
339,0.504,0.184,0.914
340,0.434,-0.211,1.148
341,0.523,0.055,0.949
342,0.020,-0.141,0.805
343,-0.410,-0.156,1.309
344,0.074,-0.145,1.176
345,-0.023,0.305,0.867
346,0.004,0.223,0.867
347,-0.160,0.047,0.941
348,0.191,0.074,0.949
349,0.387,-0.074,0.957
350,0.430,-0.047,1.164
351,-0.020,-0.223,0.969
352,0.379,0.266,0.988
353,-0.625,-0.184,1.070
354,-0.484,0.137,1.082
355,0.004,-0.020,0.816
356,0.312,0.172,0.895
357,0.113,-0.012,1.195
358,0.074,-0.266,1.031
359,-0.199,0.016,0.961
360,0.117,-0.062,1.086
361,-0.016,0.113,0.762
362,-0.090,0.109,0.934
363,-0.031,-0.109,1.227
364,-0.543,0.047,0.914
365,-0.188,0.039,1.141
366,0.020,-0.102,1.242
367,0.219,0.074,0.863
368,0.395,0.098,0.895
369,0.031,0.035,0.789
370,0.102,-0.012,0.797
371,-0.066,-0.246,1.199
372,0.316,-0.121,1.270
373,0.020,-0.016,1.172
374,0.074,0.211,1.035
375,-0.438,0.242,0.637
376,-0.641,0.152,0.988
377,0.012,-0.195,1.000
378,0.781,0.051,0.766
379,0.973,-0.234,1.129
380,0.695,-0.164,1.195
381,-0.332,0.137,0.785
382,-1.102,0.008,1.191
383,-0.945,0.188,1.055
384,-0.930,-0.031,0.738
385,1.172,0.203,1.180
386,0.875,-0.137,0.988
387,0.523,0.082,1.051
388,-0.223,-0.125,0.855
389,-0.926,-0.016,0.855
390,-0.609,-0.086,1.367
391,0.000,0.074,1.094
392,0.461,0.285,0.637
393,0.102,0.086,1.059
394,-0.121,-0.238,1.082
395,-0.266,-0.305,1.062
396,0.574,-0.008,1.016
397,0.277,-0.051,1.000
398,0.340,0.141,0.984
399,-0.246,0.023,0.871
400,-0.305,0.023,0.957
401,-0.203,0.023,0.867
402,0.051,-0.133,1.195
403,0.051,-0.133,1.195
404,0.918,-0.156,1.203
405,0.727,0.094,0.812
406,-0.094,0.180,1.051
407,-0.742,0.047,0.891
408,-0.766,0.082,0.859
409,-0.207,-0.066,1.086
410,0.434,0.105,1.016
411,0.574,-0.277,1.293
412,0.477,0.250,0.957
413,-0.773,-0.047,0.656
414,-0.543,-0.016,1.312
415,-0.680,-0.082,1.102
416,0.203,0.176,0.805
417,0.430,0.145,0.723
418,0.355,-0.074,1.043
419,0.242,-0.191,1.379
420,-0.422,-0.219,0.980
421,0.070,0.375,0.789
422,-0.762,-0.172,1.035
423,0.438,0.289,1.168
424,-0.094,-0.211,1.039
425,0.391,-0.051,1.066
426,0.641,0.117,0.516
427,0.641,0.117,0.516
428,0.281,0.016,0.859
429,-0.160,-0.219,1.258
430,-0.066,-0.070,0.941
431,-0.027,0.066,1.090
432,-0.367,-0.020,1.363
433,0.004,0.098,0.969
434,0.008,-0.105,0.762
435,0.258,0.066,1.027
436,0.184,-0.176,0.945
437,0.332,0.156,0.914
438,-0.051,-0.078,0.820
439,-0.145,-0.070,1.328
440,-0.160,0.102,1.176
441,-0.332,0.070,0.734
442,-0.125,0.199,1.020
443,-0.441,-0.191,1.070
444,0.344,0.117,0.973
445,0.531,-0.137,1.055
446,0.465,0.039,0.859
447,0.031,0.137,0.965
448,-0.695,0.027,1.039
449,-0.617,0.020,1.055
450,-0.430,-0.086,1.316
451,0.332,0.070,1.082
452,0.605,0.148,0.875
453,0.500,0.094,0.691
454,0.074,0.000,0.570
455,-0.078,-0.059,1.191
456,-0.148,-0.281,1.223
457,0.180,-0.055,1.211
458,0.289,-0.051,1.184
459,-0.242,0.148,0.863
460,-0.266,0.105,0.953
461,-0.508,-0.195,0.918
462,0.230,0.074,0.910
463,0.871,-0.129,0.953
464,0.734,-0.125,1.070
465,0.242,0.070,1.059
466,-0.969,0.051,0.777
467,-0.797,0.016,1.039
468,-0.754,-0.105,1.371
469,0.195,-0.039,1.090
470,0.820,0.141,0.926
471,0.328,-0.066,0.863
472,0.406,-0.027,0.977
473,-0.328,0.137,0.676
474,-0.266,0.109,1.016
475,-0.426,0.070,1.355
476,-0.422,0.074,0.895
477,0.047,0.250,1.023
478,-0.449,-0.266,1.184
479,0.668,0.082,1.141
480,0.078,0.016,0.828
481,0.520,0.098,0.797
482,0.266,0.043,0.797
483,-0.156,0.051,1.008
484,-0.066,0.055,1.012
485,-0.594,-0.133,1.074
486,0.004,-0.148,1.359
487,0.234,-0.121,1.133
488,0.402,0.105,0.820
489,0.234,-0.102,0.809
490,0.094,0.039,0.938
491,0.156,-0.121,0.949
492,-0.062,-0.141,0.984
493,0.242,-0.016,1.191
494,-0.031,0.012,0.879
495,-0.273,0.137,0.891
496,-0.801,-0.199,1.266
497,0.125,-0.066,1.004
498,0.395,0.074,0.902
499,0.395,0.074,0.902
500,0.707,0.062,1.152
501,0.262,0.016,0.859
502,-0.344,0.242,0.820
503,-0.719,-0.016,0.996
504,-0.695,0.168,1.113
505,-0.238,-0.008,1.062
506,0.543,0.023,1.152
507,0.387,0.047,1.152
508,0.254,0.066,0.746
509,-0.082,0.223,0.887
510,-0.477,-0.188,1.020
511,0.102,0.031,0.977
512,0.145,-0.109,0.996
513,0.492,0.020,1.137
514,-0.172,-0.176,1.051
515,-0.148,0.121,0.949
516,-0.270,-0.148,0.867
517,0.242,0.078,1.016
518,0.109,-0.090,1.082
519,0.230,-0.145,1.051
520,0.258,-0.020,0.867
521,-0.223,-0.031,1.117
522,-0.020,-0.027,1.016
523,-0.383,0.082,0.684
524,0.172,-0.027,1.035
525,0.230,-0.035,1.148
526,0.211,0.055,1.164
527,0.137,-0.035,1.211
528,-0.363,0.148,0.891
529,-0.379,0.340,0.707
530,-0.629,0.035,0.918
531,0.188,-0.016,1.051
532,0.422,-0.098,1.078
533,0.816,-0.078,1.211
534,0.094,-0.172,1.129
535,0.047,0.270,0.766
536,-0.477,0.082,0.738
537,-0.523,0.086,1.074
538,-0.043,-0.102,1.180
539,0.297,-0.012,0.848
540,0.492,-0.082,1.051
541,0.180,-0.238,1.152
542,-0.152,-0.047,0.930
543,0.266,0.008,0.855
544,-0.379,0.012,1.055
545,-0.211,0.020,1.160
546,0.078,0.031,0.984
547,-0.305,-0.070,0.969
548,0.414,0.188,0.852
549,0.004,-0.051,0.773
550,0.152,0.008,1.250
551,-0.164,-0.129,1.258
552,-0.121,0.152,0.891
553,-0.191,0.191,0.961
554,-0.312,0.105,1.039
555,-0.055,0.160,0.754
556,0.023,-0.094,1.016
557,0.562,-0.125,1.133
558,0.371,0.012,0.867
559,0.059,-0.020,1.098
560,-0.359,-0.078,1.051
