Sample,X,Y,Z
0,-0.031,-0.012,0.629
1,0.062,0.004,1.004
2,0.023,0.012,0.984
3,0.000,0.008,0.996
4,-0.051,0.004,0.988
5,-0.008,-0.004,1.008
6,0.039,-0.016,1.016
7,0.070,0.004,1.012
8,0.004,0.016,0.988
9,-0.043,0.004,0.980
10,-0.051,-0.004,1.008
11,0.008,-0.012,1.020
12,0.070,-0.004,1.008
13,0.082,0.008,1.004
14,-0.008,0.008,0.988
15,-0.059,0.008,0.988
16,-0.055,-0.012,1.012
17,0.051,0.000,1.020
18,0.055,-0.004,1.012
19,0.055,0.020,0.996
20,-0.035,0.016,0.969
21,-0.074,0.000,1.000
22,-0.012,0.000,1.020
23,0.047,-0.012,1.016
24,0.047,0.000,1.016
25,-0.027,0.012,0.980
26,-0.023,0.020,0.973
27,-0.004,-0.004,1.008
28,0.039,0.023,1.004
29,0.055,0.004,1.008
30,0.031,0.008,1.000
31,0.000,0.004,1.004
32,-0.039,0.004,0.977
33,-0.020,0.008,0.988
34,0.020,-0.008,1.016
35,0.027,-0.012,1.023
36,0.031,0.000,1.012
37,0.016,0.012,0.980
38,-0.020,0.012,0.973
39,-0.004,-0.004,1.008
40,-0.020,-0.012,1.020
41,0.047,0.004,0.988
42,0.020,0.031,0.977
43,-0.004,0.012,0.977
44,-0.016,-0.004,1.012
45,-0.012,-0.016,1.031
46,0.027,-0.004,1.004
47,0.039,0.027,0.980
48,0.016,0.027,0.980
49,-0.035,0.004,0.996
50,-0.004,-0.012,1.000
51,0.004,-0.016,1.020
52,0.062,0.004,0.996
53,0.008,0.023,0.973
54,-0.031,0.012,1.000
55,-0.020,0.000,1.008
56,-0.016,-0.016,1.012
57,0.043,0.008,1.000
58,0.039,0.004,0.996
59,0.027,0.000,1.016
60,-0.020,0.000,1.004
61,-0.031,0.020,0.980
62,-0.016,0.008,0.984
63,-0.008,0.000,1.008
64,0.039,-0.008,1.008
65,0.043,-0.008,1.012
66,0.027,0.004,1.004
67,-0.012,0.012,0.984
68,-0.039,-0.004,0.996
69,-0.016,0.000,1.008
70,0.031,0.008,1.000
71,0.043,0.004,0.988
72,0.016,0.008,0.992
73,-0.035,-0.016,1.020
74,-0.008,-0.016,0.996
75,0.008,-0.016,0.992
76,0.047,0.031,0.988
77,0.039,0.020,1.008
78,0.008,-0.004,1.027
79,-0.039,-0.004,1.008
80,0.000,0.008,0.992
81,0.012,0.016,0.988
82,0.031,0.008,0.988
83,0.012,0.000,1.016
84,-0.020,-0.012,1.012
85,0.012,0.012,0.996
86,-0.012,0.012,0.988
87,0.023,0.016,1.000
88,0.004,-0.004,1.020
89,0.035,-0.008,1.008
90,-0.012,0.012,0.988
91,-0.012,0.012,0.988
92,0.008,0.012,0.984
93,0.000,-0.004,1.008
94,0.023,-0.008,1.020
95,0.027,0.000,1.000
96,-0.004,0.004,0.973
97,0.012,0.000,1.012
98,-0.023,0.008,1.043
99,0.043,0.016,1.016
100,0.059,0.082,0.926
