Sample,X,Y,Z
0,0.012,-0.039,1.031
1,0.031,0.000,0.996
2,0.035,0.016,0.949
3,-0.008,0.008,0.980
4,-0.020,-0.016,1.020
5,0.000,-0.027,1.016
6,0.031,0.008,0.984
7,0.012,0.008,0.980
8,-0.012,0.000,0.992
9,-0.027,0.004,0.965
10,0.012,-0.012,0.984
11,0.035,-0.027,1.016
12,0.035,-0.012,1.035
13,0.051,0.008,0.984
14,-0.008,0.031,0.953
15,-0.051,0.016,0.980
16,-0.027,-0.012,1.016
17,-0.004,-0.020,1.000
18,0.059,-0.004,1.004
19,0.059,-0.004,1.004
20,0.059,-0.004,1.004
21,0.012,0.004,0.984
22,-0.027,0.012,0.973
23,-0.031,-0.012,0.992
24,-0.004,-0.020,1.012
25,0.082,0.020,1.012
26,0.035,-0.012,0.992
27,0.004,0.000,0.973
28,-0.008,-0.016,1.012
29,0.043,-0.012,1.008
30,0.008,0.004,0.996
31,0.008,0.008,0.984
32,0.000,0.012,0.977
33,0.031,0.008,0.977
34,0.023,-0.012,1.012
35,0.000,-0.020,1.016
36,0.012,-0.008,1.000
37,-0.004,0.004,0.984
38,-0.012,0.000,0.996
39,-0.004,0.004,0.988
40,0.008,0.004,0.977
41,0.035,-0.012,1.004
42,0.012,-0.020,1.020
43,0.027,0.000,0.996
44,0.004,0.008,0.977
45,-0.004,0.008,0.977
46,0.020,0.008,1.004
47,0.000,0.004,0.996
48,0.012,-0.008,0.992
49,0.023,0.008,1.012
50,-0.012,-0.004,0.973
51,0.012,-0.008,1.000
52,-0.008,-0.012,1.000
53,-0.023,-0.012,0.984
54,0.000,0.000,1.000
55,-0.012,0.008,0.984
56,-0.012,0.004,0.977
57,0.047,0.004,0.996
58,0.027,-0.008,1.000
59,0.023,-0.020,1.020
60,-0.004,-0.020,0.996
61,-0.016,0.008,0.973
62,0.012,0.004,0.992
63,0.008,0.004,1.004
64,0.000,0.000,0.992
65,0.020,0.000,0.996
66,-0.031,-0.020,1.004
67,0.008,-0.004,0.996
68,0.066,-0.004,0.988
69,0.035,0.016,0.988
70,0.016,-0.004,1.012
71,-0.020,-0.008,1.020
72,-0.023,0.000,0.980
73,-0.035,0.012,0.977
74,0.031,-0.004,0.992
75,0.000,-0.012,0.984
76,0.043,-0.012,1.016
77,0.035,-0.027,1.012
78,-0.016,0.012,0.996
79,-0.016,0.016,0.969
80,-0.008,0.020,0.965
81,0.000,0.004,0.996
82,-0.004,-0.023,1.035
83,-0.012,-0.012,0.988
84,0.035,0.012,0.973
85,0.039,-0.004,0.992
86,0.008,0.000,1.004
87,0.020,-0.012,1.012
88,-0.016,-0.004,0.992
89,-0.016,0.016,0.980
90,0.008,0.004,0.984
91,0.008,0.004,0.984
92,0.012,0.004,0.988
93,0.000,-0.012,1.004
94,0.051,-0.016,1.020
95,0.020,0.000,1.004
96,-0.066,0.004,1.043
97,-0.020,-0.016,1.082
98,0.203,-0.070,1.098
99,0.641,-0.066,1.035
100,0.770,-0.023,0.953
101,0.941,-0.027,0.930
102,0.809,0.070,0.863
103,0.656,0.109,0.766
