Sample,X,Y,Z
0,0.043,-0.004,0.707
1,-0.004,0.000,1.008
2,0.012,0.004,1.008
3,0.000,0.004,0.984
4,-0.008,0.016,0.977
5,-0.004,0.008,0.984
6,-0.008,-0.008,1.004
7,0.035,-0.008,1.000
8,0.039,-0.004,1.000
9,0.023,0.004,0.984
10,0.004,0.012,0.984
11,-0.035,0.000,0.965
12,-0.012,0.000,1.000
13,0.016,0.000,1.004
14,0.020,0.008,1.000
15,0.027,0.004,0.996
16,0.000,0.000,0.984
17,0.000,-0.016,1.004
18,0.023,-0.012,1.008
19,0.027,0.008,0.980
20,0.004,0.020,0.977
21,-0.027,0.004,0.996
22,-0.016,-0.008,1.004
23,-0.004,-0.012,1.008
24,0.035,-0.004,0.992
25,0.027,0.012,0.977
26,0.039,0.027,0.992
27,0.027,0.012,1.004
28,-0.008,-0.004,0.980
29,-0.016,0.016,0.988
30,-0.031,0.000,1.012
31,-0.027,0.004,0.992
32,0.051,0.004,0.973
33,0.059,0.004,0.984
34,0.023,-0.012,0.996
35,0.031,0.000,0.996
36,-0.008,0.004,0.996
37,-0.016,0.004,1.000
38,-0.027,0.012,0.996
39,-0.004,0.004,0.984
40,0.043,0.004,0.984
41,0.031,-0.016,1.004
42,-0.008,-0.027,1.023
43,0.039,0.008,0.984
44,0.000,0.020,0.957
45,-0.004,0.016,0.973
46,-0.035,-0.016,1.016
47,-0.023,-0.027,1.031
48,0.035,-0.016,1.008
49,0.074,0.043,0.965
50,-0.047,0.008,0.977
51,-0.020,0.027,0.992
52,0.012,-0.016,0.992
53,0.023,0.000,1.012
54,0.043,0.012,0.996
55,0.008,0.004,0.977
56,0.020,0.004,0.984
57,0.004,-0.008,0.992
58,-0.004,-0.012,1.004
59,0.016,0.004,1.000
60,0.004,0.008,0.996
61,-0.008,0.008,0.984
62,-0.004,-0.004,0.996
63,-0.004,-0.008,1.000
64,0.016,-0.004,0.988
65,0.047,0.004,0.996
66,0.039,0.000,0.996
67,-0.012,-0.008,0.984
68,0.000,0.008,0.980
69,-0.012,0.004,0.984
70,-0.004,-0.008,1.020
71,0.000,-0.008,1.031
72,-0.012,-0.016,0.992
73,0.043,0.035,0.980
